fill	x	y	group
#FFFFFF	48102.5	8	115
#FFFFFF	48102	7.5	115
#FFFFFF	48102	8.5	116
#FFFFFF	48102.5	9	116
#FFFFFF	48103	8.5	116
#FFFFFF	48102.5	8	116
#FFFFFF	48102.5	9	117
#FFFFFF	48103	9.5	117
#FFFFFF	48103.5	9	117
#FFFFFF	48103	8.5	117
#FCF9F8	48103	9.5	118
#FCF9F8	48103.5	10	118
#FCF9F8	48104	9.5	118
#FCF9F8	48103.5	9	118
#FEFCFC	48103.5	10	119
#FEFCFC	48104	10.5	119
#FEFCFC	48104.5	10	119
#FEFCFC	48104	9.5	119
#FBF6F5	48104	10.5	120
#FBF6F5	48104.5	11	120
#FBF6F5	48105	10.5	120
#FBF6F5	48104.5	10	120
#FBF5F4	48104.5	11	121
#FBF5F4	48105	11.5	121
#FBF5F4	48105.5	11	121
#FBF5F4	48105	10.5	121
#FCF7F7	48105	11.5	122
#FCF7F7	48105.5	12	122
#FCF7F7	48106	11.5	122
#FCF7F7	48105.5	11	122
#F7EDEC	48105.5	12	123
#F7EDEC	48106	12.5	123
#F7EDEC	48106.5	12	123
#F7EDEC	48106	11.5	123
#FEFCFC	48106	12.5	124
#FEFCFC	48106.5	13	124
#FEFCFC	48107	12.5	124
#FEFCFC	48106.5	12	124
#FDFAFA	48106.5	13	125
#FDFAFA	48107	13.5	125
#FDFAFA	48107.5	13	125
#FDFAFA	48107	12.5	125
#FCF9F8	48107	13.5	126
#FCF9F8	48107.5	14	126
#FCF9F8	48108	13.5	126
#FCF9F8	48107.5	13	126
#FDFAFA	48107.5	14	127
#FDFAFA	48108	14.5	127
#FDFAFA	48108.5	14	127
#FDFAFA	48108	13.5	127
#FCF7F6	48108	14.5	128
#FCF7F6	48108.5	15	128
#FCF7F6	48109	14.5	128
#FCF7F6	48108.5	14	128
#FBF5F4	48108.5	15	129
#FBF5F4	48109	15.5	129
#FBF5F4	48109.5	15	129
#FBF5F4	48109	14.5	129
#FEFCFC	48109	15.5	130
#FEFCFC	48109.5	16	130
#FEFCFC	48110	15.5	130
#FEFCFC	48109.5	15	130
#FFFFFF	48109.5	16	131
#FFFFFF	48110	16.5	131
#FFFFFF	48110.5	16	131
#FFFFFF	48110	15.5	131
#FCF8F8	48110	16.5	132
#FCF8F8	48110.5	17	132
#FCF8F8	48111	16.5	132
#FCF8F8	48110.5	16	132
#FCF8F8	48110.5	17	133
#FCF8F8	48111	17.5	133
#FCF8F8	48111.5	17	133
