fill	y	x	group	xmin	xmax	ymin	ymax
#4E4E4E	5	-1	-1	-1.125	-0.875	4.5	5.5
#BEBEBE	7	-1.75	-1	-1.875	-1.625	6.5	7.5
#B4B4B4	6	-2	-1	-2.125	-1.875	5.5	6.5
#5E5E5E	7	-0.5	-1	-0.625	-0.375	6.5	7.5
#8E8E8E	10	-0.75	-1	-0.875	-0.625	9.5	10.5
#4A4A4A	4	-0.75	-1	-0.875	-0.625	3.5	4.5
#969696	16	-0.75	-1	-0.875	-0.625	15.5	16.5
#848484	13	-0.75	-1	-0.875	-0.625	12.5	13.5
#565656	3	-0.25	-1	-0.375	-0.125	2.5	3.5
#787878	8	-0.75	-1	-0.875	-0.625	7.5	8.5
#666666	6	-1	-1	-1.125	-0.875	5.5	6.5
#848484	7	-1	-1	-1.125	-0.875	6.5	7.5
#ACACAC	13	-0.5	-1	-0.625	-0.375	12.5	13.5
#969696	6	-0.25	-1	-0.375	-0.125	5.5	6.5
#575757	5	-0.75	-1	-0.875	-0.625	4.5	5.5
#BEBEBE	9	-1.25	-1	-1.375	-1.125	8.5	9.5
#FFFFFF	7	-2	-1	-2.125	-1.875	6.5	7.5
#9A9A9A	17	-0.75	-1	-0.875	-0.625	16.5	17.5
#CCCCCC	9	-1.75	-1	-1.875	-1.625	8.5	9.5
#878787	12	-0.75	-1	-0.875	-0.625	11.5	12.5
#696969	2	0.25	-1	0.125	0.375	1.5	2.5
#878787	14	-0.5	-1	-0.625	-0.375	13.5	14.5
#6D6D6D	4	-0.25	-1	-0.375	-0.125	3.5	4.5
#737373	7	-0.75	-1	-0.875	-0.625	6.5	7.5
#878787	8	-1.25	-1	-1.375	-1.125	7.5	8.5
#7F7F7F	18	-0.75	-1	-0.875	-0.625	17.5	18.5
#848484	14	-0.75	-1	-0.875	-0.625	13.5	14.5
#878787	15	-0.75	-1	-0.875	-0.625	14.5	15.5
#8E8E8E	12	-0.5	-1	-0.625	-0.375	11.5	12.5
#828282	9	-0.5	-1	-0.625	-0.375	8.5	9.5
#A0A0A0	19	-0.75	-1	-0.875	-0.625	18.5	19.5
#878787	3	0.5	-1	0.375	0.625	2.5	3.5
#B4B4B4	1	0.75	-1	0.625	0.875	0.5	1.5
#CCCCCC	4	0.5	-1	0.375	0.625	3.5	4.5
#696969	2	0.5	-1	0.375	0.625	1.5	2.5
#FFFFFF	2	1	-1	0.875	1.125	1.5	2.5
#878787	3	0.75	-1	0.625	0.875	2.5	3.5
#A0A0A0	3	0.25	-1	0.125	0.375	2.5	3.5
#ACACAC	5	0.5	-1	0.375	0.625	4.5	5.5
#CCCCCC	5	0.75	-1	0.625	0.875	4.5	5.5
#FFFFFF	2	0.75	-1	0.625	0.875	1.5	2.5
#CCCCCC	5	1	-1	0.875	1.125	4.5	5.5
#CCCCCC	4	1	-1	0.875	1.125	3.5	4.5
#DEDEDE	4	0.25	-1	0.125	0.375	3.5	4.5
#ACACAC	4	0.75	-1	0.625	0.875	3.5	4.5
#FFFFFF	6	1	-1	0.875	1.125	5.5	6.5
#CCCCCC	6	1.25	-1	1.125	1.375	5.5	6.5
#CCCCCC	1	1	-1	0.875	1.125	0.5	1.5
#ACACAC	20	-0.75	-1	-0.875	-0.625	19.5	20.5
#CCCCCC	15	-0.5	-1	-0.625	-0.375	14.5	15.5
#FFFFFF	7	-3	-1	-3.125	-2.875	6.5	7.5
#BEBEBE	3	-2.25	-1	-2.375	-2.125	2.5	3.5
#FFFFFF	7	-0.25	-1	-0.375	-0.125	6.5	7.5
#FFFFFF	2	-4.75	-1	-4.875	-4.625	1.5	2.5
#DEDEDE	4	-2.5	-1	-2.625	-2.375	3.5	4.5
#CCCCCC	1	1.25	-1	1.125	1.375	0.5	1.5
#FFFFFF	10	-2.75	-1	-2.875	-2.625	9.5	10.5
#FFFFFF	7	-2.25	-1	-2.375	-2.125	6.5	7.5
#ACACAC	2	-4.5	-1	-4.625	-4.375	1.5	2.5
#8E8E8E	2	-2.5	-1	-2.625	-2.375	1.5	2.5
#DEDEDE	16	-0.5	-1	-0.625	-0.375	15.5	16.5
#7D7D7D	9	-1	-1	-1.125	-0.875	8.5	9.5
#DEDEDE	6	-2.25	-1	-2.375	-2.125	5.5	6.5
#FFFFFF	9	-2.75	-1	-2.875	-2.625	8.5	9.5
#FFFFFF	2	-3.75	-1	-3.875	-3.625	1.5	2.5
#FFFFFF	5	-2.25	-1	-2.375	-2.125	4.5	5.5
#DEDEDE	23	-1	-1	-1.125	-0.875	22.5	23.5
#B4B4B4	19	-1	-1	-1.125	-0.875	18.5	19.5
#969696	8	-1	-1	-1.125	-0.875	7.5	8.5
#DEDEDE	21	-0.75	-1	-0.875	-0.625	20.5	21.5
#A5A5A5	14	-1	-1	-1.125	-0.875	13.5	14.5
#9A9A9A	12	-1	-1	-1.125	-0.875	11.5	12.5
#848484	10	-1	-1	-1.125	-0.875	9.5	10.5
#B4B4B4	2	-2.75	-1	-2.875	-2.625	1.5	2.5
#FFFFFF	25	-1.25	-1	-1.375	-1.125	24.5	25.5
#DEDEDE	23	-1.5	-1	-1.625	-1.375	22.5	23.5
#A5A5A5	16	-1.25	-1	-1.375	-1.125	15.5	16.5
#CCCCCC	10	-1.25	-1	-1.375	-1.125	9.5	10.5
#FFFFFF	20	-1.25	-1	-1.375	-1.125	19.5	20.5
